Number,price,house_type,house_type_v2,house_type_2,rooms,rooms_v2,m2,m2_v2,price_m2,elevator,garage,neighborhood,district
4798,"2,300,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,259,Piso muy grande,"8,880",SI,SI,Nueva Espaﾃｱa,Chamartin
4799,"995,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,179,Piso grande,"5,559",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4800,"1,150,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,215,Piso grande,"5,349",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4801,"3,249,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,465,#N/A,"6,987",SI,SI,ﾃ》ico en El Viso,Chamartin
4802,"1,150,000",planta 6,Plantas intermedias,exterior,5,1 - 5 rooms,200,Piso grande,"5,750",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4803,"3,900,000",chalet,Chalet,exterior,8,6 - 10 rooms,432,#N/A,"9,028",NO,NO,Chalet pareado en El Viso,Chamartin
4804,"3,900,000",chalet,Chalet,exterior,8,6 - 10 rooms,450,Piso muy grande,"8,667",NO,NO,Chalet pareado en El Viso,Chamartin
4805,"2,300,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,310,Piso muy grande,"7,419",SI,SI,Nueva Espaﾃｱa,Chamartin
4806,"2,700,000",chalet,Chalet,exterior,5,1 - 5 rooms,436,#N/A,"6,193",NO,NO,Chalet adosado en Ciudad Jardﾃｭn,Chamartin
4807,"1,420,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,282,Piso muy grande,"5,035",SI,NO,Nueva Espaﾃｱa,Chamartin
4808,"1,600,000",planta 9,Plantas intermedias,exterior,4,1 - 5 rooms,180,Piso grande,"8,889",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4809,"1,370,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,298,Piso muy grande,"4,597",SI,NO,Dﾃｺplex en Castilla,Chamartin
4810,"2,300,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,259,Piso muy grande,"8,880",SI,SI,Nueva Espaﾃｱa,Chamartin
4811,"695,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,107,Piso intermedio,"6,495",SI,NO,El Viso,Chamartin
4812,"2,400,000",chalet,Chalet,exterior,4,1 - 5 rooms,248,Piso grande,"9,677",NO,NO,Chalet pareado en El Viso,Chamartin
4813,"2,450,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,340,Piso muy grande,"7,206",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4814,"2,600,000",planta 4,Plantas inferiores,exterior,5,1 - 5 rooms,486,#N/A,"5,350",SI,NO,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4815,"2,750,000",planta 15,Plantas altas,exterior,4,1 - 5 rooms,527,#N/A,"5,218",SI,SI,Dﾃｺplex en El Viso,Chamartin
4816,"8,100,000",planta 1,Plantas inferiores,exterior,6,6 - 10 rooms,973,#N/A,"8,325",SI,SI,Dﾃｺplex en El Viso,Chamartin
4817,"1,649,000",planta 6,Plantas intermedias,exterior,5,1 - 5 rooms,272,Piso muy grande,"6,063",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4818,"925,000",planta 18,#N/A,exterior,2,1 - 5 rooms,155,Piso intermedio,"5,968",SI,SI,ﾃ》ico en Castilla,Chamartin
4819,"845,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,188,Piso grande,"4,495",SI,SI,Nueva Espaﾃｱa,Chamartin
4820,"840,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,180,Piso grande,"4,667",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4821,"635,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,144,Piso intermedio,"4,410",SI,SI,Castilla,Chamartin
4822,"1,150,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,274,Piso muy grande,"4,197",SI,SI,Castilla,Chamartin
4823,"510,000",bajo,Sotano,exterior,3,1 - 5 rooms,134,Piso intermedio,"3,806",SI,NO,Dﾃｺplex en Prosperidad,Chamartin
4824,"2,100,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,303,Piso muy grande,"6,931",SI,SI,El Viso,Chamartin
4825,"1,490,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,222,Piso grande,"6,712",SI,NO,El Viso,Chamartin
4826,"2,450,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,367,Piso muy grande,"6,676",SI,SI,Nueva Espaﾃｱa,Chamartin
4827,"2,300,000",planta 9,Plantas intermedias,exterior,5,1 - 5 rooms,327,#N/A,"7,034",SI,SI,ﾃ》ico en Nueva Espaﾃｱa,Chamartin
4828,"1,250,000",planta 5,Plantas intermedias,exterior,2,1 - 5 rooms,130,Piso intermedio,"9,615",SI,SI,ﾃ》ico en El Viso,Chamartin
4829,"2,300,000",chalet,Chalet,exterior,4,1 - 5 rooms,333,#N/A,"6,907",NO,SI,Chalet adosado en Nueva Espaﾃｱa,Chamartin
4830,"1,150,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,210,Piso grande,"5,476",SI,SI,Nueva Espaﾃｱa,Chamartin
4831,"3,249,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,465,#N/A,"6,987",SI,SI,ﾃ》ico en El Viso,Chamartin
4832,"460,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,81,Piso peque,"5,679",SI,NO,Prosperidad,Chamartin
4833,"775,000",planta 13,Plantas altas,exterior,3,1 - 5 rooms,128,Piso intermedio,"6,055",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4834,"495,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,108,Piso intermedio,"4,583",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4835,"360,000",bajo,Sotano,exterior,1,1 - 5 rooms,70,Piso peque,"5,143",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4836,"220,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,50,Piso peque,"4,400",NO,NO,Ciudad Jardﾃｭn,Chamartin
4837,"250,000",bajo,Sotano,interior,2,1 - 5 rooms,50,Piso peque,"5,000",SI,NO,Ciudad Jardﾃｭn,Chamartin
4838,"1,250,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,245,Piso grande,"5,102",SI,SI,ﾃ》ico en Nueva Espaﾃｱa,Chamartin
4839,"855,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,180,Piso grande,"4,750",SI,NO,El Viso,Chamartin
4840,"1,850,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,205,Piso grande,"9,024",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4841,"1,125,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,174,Piso grande,"6,466",SI,SI,Nueva Espaﾃｱa,Chamartin
4842,"1,300,000",planta 6,Plantas intermedias,exterior,2,1 - 5 rooms,151,Piso intermedio,"8,609",SI,SI,Nueva Espaﾃｱa,Chamartin
4843,"1,150,000",planta 6,Plantas intermedias,exterior,5,1 - 5 rooms,194,Piso grande,"5,928",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4844,"1,600,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,351,Piso muy grande,"4,558",SI,SI,Nueva Espaﾃｱa,Chamartin
4845,"2,100,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,380,#N/A,"5,526",SI,NO,El Viso,Chamartin
4846,"1,500,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,232,Piso grande,"6,466",SI,SI,El Viso,Chamartin
4847,"1,350,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,266,#N/A,"5,075",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4848,"2,500,000",chalet,Chalet,exterior,7,6 - 10 rooms,212,Piso grande,"11,792",NO,SI,Casa o chalet independiente en Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4849,"1,450,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,198,Piso grande,"7,323",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4850,"2,575,000",chalet,Chalet,exterior,5,1 - 5 rooms,337,#N/A,"7,641",NO,SI,Chalet pareado en El Viso,Chamartin
4851,"5,800,000",chalet,Chalet,exterior,9,6 - 10 rooms,900,#N/A,"6,444",NO,SI,Casa o chalet independiente en El Viso,Chamartin
4852,"1,295,000",entreplanta,Plantas inferiores,exterior,4,1 - 5 rooms,250,Piso grande,"5,180",SI,SI,El Viso,Chamartin
4853,"475,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,97,Piso peque,"4,897",SI,NO,Nueva Espaﾃｱa,Chamartin
4854,"750,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,95,Piso peque,"7,895",SI,NO,El Viso,Chamartin
4855,"995,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,210,Piso grande,"4,738",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4856,"799,000",planta 1,Plantas inferiores,interior,3,1 - 5 rooms,155,Piso intermedio,"5,155",SI,NO,El Viso,Chamartin
4857,"1,150,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,215,Piso grande,"5,349",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4858,"1,650,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,283,#N/A,"5,830",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4859,"850,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,128,Piso intermedio,"6,641",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4860,"1,350,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,245,Piso grande,"5,510",SI,SI,Nueva Espaﾃｱa,Chamartin
4861,"1,300,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,240,Piso grande,"5,417",SI,SI,Castilla,Chamartin
4862,"795,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,117,Piso intermedio,"6,795",SI,SI,El Viso,Chamartin
4863,"5,600,000",chalet,Chalet,exterior,7,6 - 10 rooms,852,#N/A,"6,573",NO,SI,Casa o chalet independiente en Nueva Espaﾃｱa,Chamartin
4864,"739,000",planta 5,Plantas intermedias,exterior,4,1 - 5 rooms,163,Piso intermedio,"4,534",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4865,"7,800,000",chalet,Chalet,exterior,16,#N/A,882,#N/A,"8,844",NO,NO,Chalet pareado en El Viso,Chamartin
4866,"5,800,000",chalet,Chalet,exterior,9,6 - 10 rooms,848,#N/A,"6,840",NO,SI,Casa o chalet independiente en El Viso,Chamartin
4867,"1,250,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,207,Piso grande,"6,039",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4868,"3,900,000",chalet,Chalet,exterior,9,6 - 10 rooms,450,Piso muy grande,"8,667",NO,NO,Chalet adosado en El Viso,Chamartin
4869,"3,900,000",chalet,Chalet,exterior,9,6 - 10 rooms,432,#N/A,"9,028",NO,NO,Chalet adosado en El Viso,Chamartin
4870,"950,000",planta 8,Plantas intermedias,exterior,5,1 - 5 rooms,159,Piso intermedio,"5,975",SI,SI,El Viso,Chamartin
4871,"860,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,149,Piso intermedio,"5,772",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4872,"900,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,185,Piso grande,"4,865",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4873,"2,350,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,235,Piso grande,"10,000",SI,SI,El Viso,Chamartin
4874,"990,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,197,Piso grande,"5,025",SI,NO,El Viso,Chamartin
4875,"5,600,000",casa,Casa,exterior,7,6 - 10 rooms,825,Piso muy grande,"6,788",NO,SI,Casa o chalet independiente en Nueva Espaﾃｱa,Chamartin
4876,"549,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,141,Piso intermedio,"3,894",SI,SI,Castilla,Chamartin
4877,"489,000",planta 5,Plantas intermedias,exterior,2,1 - 5 rooms,82,Piso peque,"5,963",SI,NO,Prosperidad,Chamartin
4878,"690,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,164,Piso intermedio,"4,207",SI,SI,Castilla,Chamartin
4879,"1,485,000",planta 5,Plantas intermedias,exterior,4,1 - 5 rooms,235,Piso grande,"6,319",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4880,"1,295,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,190,Piso grande,"6,816",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4881,"950,000",bajo,Sotano,exterior,11,+10 rooms,200,Piso grande,"4,750",NO,NO,Nueva Espaﾃｱa,Chamartin
4882,"940,000",planta 6,Plantas intermedias,exterior,4,1 - 5 rooms,150,Piso intermedio,"6,267",SI,SI,Nueva Espaﾃｱa,Chamartin
4883,"460,000",planta 10,Plantas altas,exterior,2,1 - 5 rooms,98,Piso peque,"4,694",SI,SI,Castilla,Chamartin
4884,"995,000",planta 7,Plantas intermedias,exterior,4,1 - 5 rooms,181,Piso grande,"5,497",SI,SI,Nueva Espaﾃｱa,Chamartin
4885,"1,025,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,248,Piso grande,"4,133",SI,SI,Dﾃｺplex en Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4886,"1,299,000",planta 9,Plantas intermedias,exterior,5,1 - 5 rooms,270,#N/A,"4,811",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4887,"259,900",planta 5,Plantas intermedias,exterior,2,1 - 5 rooms,65,Piso peque,"3,998",SI,NO,Castilla,Chamartin
4888,"760,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,149,Piso intermedio,"5,101",SI,NO,Castilla,Chamartin
4889,"1,080,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,218,#N/A,"4,954",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4890,"1,100,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,202,Piso grande,"5,446",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4891,"1,485,000",planta 5,Plantas intermedias,exterior,4,1 - 5 rooms,235,Piso grande,"6,319",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4892,"1,590,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,237,Piso grande,"6,709",SI,NO,El Viso,Chamartin
4893,"399,000",planta 8,Plantas intermedias,exterior,2,1 - 5 rooms,81,Piso peque,"4,926",SI,NO,Castilla,Chamartin
4894,"1,590,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,248,Piso grande,"6,411",SI,SI,El Viso,Chamartin
4895,"2,450,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,240,Piso grande,"10,208",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4896,"2,600,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,250,Piso grande,"10,400",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4897,"2,490,000",bajo,Sotano,exterior,4,1 - 5 rooms,360,#N/A,"6,917",SI,SI,Dﾃｺplex en Nueva Espaﾃｱa,Chamartin
4898,"590,000",planta 7,Plantas intermedias,exterior,1,1 - 5 rooms,69,Piso peque,"8,551",SI,NO,Nueva Espaﾃｱa,Chamartin
4899,"700,000",planta 2,Plantas inferiores,exterior,4,1 - 5 rooms,180,Piso grande,"3,889",SI,NO,Castilla,Chamartin
4900,"920,000",planta 6,Plantas intermedias,exterior,3,1 - 5 rooms,186,Piso grande,"4,946",SI,NO,Castilla,Chamartin
4901,"2,400,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,335,Piso muy grande,"7,164",SI,NO,El Viso,Chamartin
4902,"3,150,000",planta 4,Plantas inferiores,exterior,6,6 - 10 rooms,434,#N/A,"7,258",SI,SI,El Viso,Chamartin
4903,"1,995,000",planta 19,Plantas altas,exterior,6,6 - 10 rooms,280,Piso muy grande,"7,125",SI,NO,Nueva Espaﾃｱa,Chamartin
4904,"795,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,155,Piso intermedio,"5,129",SI,NO,Ciudad Jardﾃｭn,Chamartin
4905,"1,180,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,165,Piso intermedio,"7,152",SI,NO,El Viso,Chamartin
4906,"2,360,000",planta 6,Plantas intermedias,exterior,4,1 - 5 rooms,345,Piso muy grande,"6,841",SI,SI,Nueva Espaﾃｱa,Chamartin
4907,"490,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,115,Piso intermedio,"4,261",SI,NO,Prosperidad,Chamartin
4908,"2,400,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,335,Piso muy grande,"7,164",SI,NO,El Viso,Chamartin
4909,"480,000",planta 3,Plantas inferiores,exterior,3,1 - 5 rooms,88,Piso peque,"5,455",SI,SI,Prosperidad,Chamartin
4910,"530,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,106,Piso intermedio,"5,000",SI,NO,Prosperidad,Chamartin
4911,"229,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,60,Piso peque,"3,817",NO,NO,Prosperidad,Chamartin
4912,"795,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,155,Piso intermedio,"5,129",SI,NO,Ciudad Jardﾃｭn,Chamartin
4913,"295,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,67,Piso peque,"4,403",NO,NO,Ciudad Jardﾃｭn,Chamartin
4914,"578,000",planta 2,Plantas inferiores,interior,4,1 - 5 rooms,135,Piso intermedio,"4,281",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4915,"1,550,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,304,#N/A,"5,099",SI,SI,El Viso,Chamartin
4916,"790,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,95,Piso peque,"8,316",SI,NO,El Viso,Chamartin
4917,"1,375,000",planta 4,Plantas inferiores,exterior,5,1 - 5 rooms,275,Piso muy grande,"5,000",SI,SI,Castilla,Chamartin
4918,"1,950,000",chalet,Chalet,exterior,7,6 - 10 rooms,370,#N/A,"5,270",NO,SI,Casa o chalet independiente en Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4919,"2,300,000",chalet,Chalet,exterior,4,1 - 5 rooms,333,#N/A,"6,907",NO,SI,Chalet adosado en Nueva Espaﾃｱa,Chamartin
4920,"2,300,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,335,Piso muy grande,"6,866",SI,NO,El Viso,Chamartin
4921,"1,150,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,185,Piso grande,"6,216",SI,SI,Nueva Espaﾃｱa,Chamartin
4922,"643,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,134,Piso intermedio,"4,799",SI,NO,El Viso,Chamartin
4923,"4,900,000",casa,Casa,exterior,3,1 - 5 rooms,598,#N/A,"8,194",NO,NO,Chalet en El Viso,Chamartin
4924,"750,000",bajo,Sotano,exterior,3,1 - 5 rooms,175,Piso grande,"4,286",SI,SI,Castilla,Chamartin
4925,"2,300,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,258,#N/A,"8,915",SI,SI,Dﾃｺplex en El Viso,Chamartin
4926,"2,500,000",casa,Casa,exterior,7,6 - 10 rooms,200,Piso grande,"12,500",NO,NO,Casa o chalet independiente en Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4927,"5,800,000",chalet,Chalet,exterior,9,6 - 10 rooms,848,#N/A,"6,840",NO,SI,Casa o chalet independiente en El Viso,Chamartin
4928,"2,400,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,335,Piso muy grande,"7,164",SI,NO,El Viso,Chamartin
4929,"565,000",planta 7,Plantas intermedias,exterior,3,1 - 5 rooms,110,Piso intermedio,"5,136",SI,NO,Prosperidad,Chamartin
4930,"700,000",planta 2,Plantas inferiores,,4,1 - 5 rooms,180,Piso grande,"3,889",SI,NO,Castilla,Chamartin
4931,"1,800,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,250,Piso grande,"7,200",SI,NO,ﾃ》ico en Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4932,"4,750,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,360,#N/A,"13,194",SI,NO,ﾃ》ico en El Viso,Chamartin
4933,"1,200,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,167,Piso intermedio,"7,186",NO,SI,El Viso,Chamartin
4934,"950,000",planta 8,Plantas intermedias,exterior,5,1 - 5 rooms,159,Piso intermedio,"5,975",SI,SI,Ciudad Jardﾃｭn,Chamartin
4935,"2,200,000",planta 1,Plantas inferiores,exterior,6,6 - 10 rooms,400,#N/A,"5,500",SI,SI,El Viso,Chamartin
4936,"1,490,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,222,Piso grande,"6,712",SI,SI,El Viso,Chamartin
4937,"2,300,000",planta 9,Plantas intermedias,exterior,5,1 - 5 rooms,327,#N/A,"7,034",SI,SI,Nueva Espaﾃｱa,Chamartin
4938,"650,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,120,Piso intermedio,"5,417",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4939,"1,500,000",planta 12,Plantas altas,exterior,4,1 - 5 rooms,211,Piso grande,"7,109",SI,NO,Nueva Espaﾃｱa,Chamartin
4940,"2,500,000",planta 1,Plantas inferiores,,5,1 - 5 rooms,463,#N/A,"5,400",SI,NO,El Viso,Chamartin
4941,"1,600,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,351,Piso muy grande,"4,558",SI,SI,Nueva Espaﾃｱa,Chamartin
4942,"1,490,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,222,Piso grande,"6,712",SI,NO,El Viso,Chamartin
4943,"2,200,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,400,#N/A,"5,500",SI,SI,El Viso,Chamartin
4944,"3,249,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,298,Piso muy grande,"10,903",SI,SI,ﾃ》ico en El Viso,Chamartin
4945,"795,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,155,Piso intermedio,"5,129",SI,NO,Ciudad Jardﾃｭn,Chamartin
4946,"590,000",planta 7,Plantas intermedias,exterior,1,1 - 5 rooms,69,Piso peque,"8,551",SI,NO,Nueva Espaﾃｱa,Chamartin
4947,"2,485,000",chalet,Chalet,exterior,6,6 - 10 rooms,335,Piso muy grande,"7,418",NO,NO,Chalet pareado en El Viso,Chamartin
4948,"2,300,000",planta 2,Plantas inferiores,exterior,5,1 - 5 rooms,256,Piso muy grande,"8,984",SI,SI,Nueva Espaﾃｱa,Chamartin
4949,"1,500,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,225,Piso grande,"6,667",SI,NO,Nueva Espaﾃｱa,Chamartin
4950,"1,025,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,248,Piso grande,"4,133",SI,SI,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4951,"255,000",planta 2,Plantas inferiores,,1,1 - 5 rooms,50,Piso peque,"5,100",SI,NO,Prosperidad,Chamartin
4952,"8,770,000",chalet,Chalet,exterior,7,6 - 10 rooms,897,#N/A,"9,777",NO,SI,Casa o chalet independiente en El Viso,Chamartin
4953,"640,000",planta 2,Plantas inferiores,,2,1 - 5 rooms,130,Piso intermedio,"4,923",NO,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4954,"2,200,000",planta 1,Plantas inferiores,exterior,6,6 - 10 rooms,400,#N/A,"5,500",SI,NO,El Viso,Chamartin
4955,"3,500,000",planta 5,Plantas intermedias,exterior,5,1 - 5 rooms,505,#N/A,"6,931",SI,SI,El Viso,Chamartin
4956,"515,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,90,Piso peque,"5,722",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4957,"2,100,000",planta 3,Plantas inferiores,exterior,4,1 - 5 rooms,303,Piso muy grande,"6,931",SI,SI,El Viso,Chamartin
4958,"999,990",planta 6,Plantas intermedias,exterior,4,1 - 5 rooms,165,Piso intermedio,"6,061",SI,SI,Ciudad Jardﾃｭn,Chamartin
4959,"1,150,000",chalet,Chalet,exterior,5,1 - 5 rooms,187,Piso grande,"6,150",NO,NO,Casa o chalet independiente en Castilla,Chamartin
4960,"305,000",bajo,Sotano,exterior,1,1 - 5 rooms,65,Piso peque,"4,692",NO,NO,Ciudad Jardﾃｭn,Chamartin
4961,"340,000",bajo,Sotano,exterior,2,1 - 5 rooms,48,Piso peque,"7,083",SI,NO,El Viso,Chamartin
4962,"790,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,112,Piso intermedio,"7,054",SI,NO,El Viso,Chamartin
4963,"370,000",bajo,Sotano,exterior,1,1 - 5 rooms,73,Piso peque,"5,068",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4964,"335,000",planta 1,Plantas inferiores,exterior,1,1 - 5 rooms,55,Piso peque,"6,091",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4965,"675,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,105,Piso intermedio,"6,429",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4966,"515,000",planta 1,Plantas inferiores,exterior,2,1 - 5 rooms,85,Piso peque,"6,059",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4967,"455,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,87,Piso peque,"5,230",SI,NO,Bernabﾃｩu-Hispanoamﾃｩrica,Chamartin
4968,"2,800,000",planta 3,Plantas inferiores,exterior,5,1 - 5 rooms,481,#N/A,"5,821",SI,SI,El Viso,Chamartin
4969,"3,995,000",chalet,Chalet,exterior,8,6 - 10 rooms,482,#N/A,"8,288",NO,SI,Chalet adosado en El Viso,Chamartin
4970,"1,490,000",planta 8,Plantas intermedias,exterior,4,1 - 5 rooms,184,Piso grande,"8,098",SI,NO,El Viso,Chamartin
4971,"1,200,000",planta 5,Plantas intermedias,exterior,4,1 - 5 rooms,237,Piso grande,"5,063",SI,SI,Nueva Espaﾃｱa,Chamartin
4972,"1,250,000",planta 1,Plantas inferiores,exterior,5,1 - 5 rooms,290,Piso muy grande,"4,310",SI,SI,El Viso,Chamartin
4973,"795,000",bajo,Sotano,exterior,4,1 - 5 rooms,246,#N/A,"3,232",SI,SI,Nueva Espaﾃｱa,Chamartin
4974,"475,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,100,Piso peque,"4,750",SI,NO,Prosperidad,Chamartin
4975,"349,900",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,85,Piso peque,"4,116",NO,NO,Prosperidad,Chamartin
